query,candidate_doi,label,candidate_year,candidate_title,crossref_score,true_doi,candidate_rank,candidate_author,query_author
Featured review of books on optimal control 2000,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,1,2000.0,Featured review of books on optimal control,38.650723,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,2,D. Subbaram Naidu,
Featured review of books on optimal control 2000,10.1049/cce:20000310,0,2000.0,Mini symposia featured at Control 2000,26.00238,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,3,,
Featured review of books on optimal control 2000,10.1137/24m1700958,0,2025.0,"<b>Featured Review:</b>
                    The Sequential Quadratic Hamiltonian Method: Solving Optimal Control Problems",25.899471,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,4,Souvik Roy,
Featured review of books on optimal control 2000,10.1002/rnc.640,0,2002.0,Featured Review of Books on Linear Systems. Some of the books that are published around or after 1995 and considered for this short featured review on <i>Linear Systems</i> are (in chronological order).,25.631485,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,5,D. Subbaram Naidu,
Featured review of books on optimal control 2000,10.1002/oca.2825,0,2021.0,Featured Cover,24.952805,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,6,Yongdong Cheng,
Featured review of books on optimal control 2000,10.1002/oca.70092,0,2026.0,Featured Cover,23.855865,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,7,Cara Rose,
Featured review of books on optimal control 2000,10.1007/0-387-29903-3,0,2000.0,Optimal Control Theory,23.135582,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,8,,
Featured review of books on optimal control 2000,10.31430/sbwy3012,0,2024.0,Featured Books,22.715302,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,9,,
Featured review of books on optimal control 2000,10.1002/oca.678,0,2000.0,Optimal control of deterministic epidemics,22.086796,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,10,Horst Behncke,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.3958/059.039.0110,1,2014.0,<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico,119.16902,10.3958/059.039.0110,1,J. Pujade-Villar,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.22201/ib.20078706e.2025.96.5614,0,2025.0,"A new gall wasp species (Hymenoptera: Cynipidae),  Andricus protector Pujade-Villar and Cuesta-Porta sp.  nova (Hymenoptera: Cynipidae: Cynipini), from Mexico",89.815094,10.3958/059.039.0110,2,Juli Pujade-Villar,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.32870/dugesiana.v22i2.4717,0,2015.0,"Andricus protuberans n. sp. (Hymenoptera: Cynipidae: Cynipini), a new species of oak gallwasp from Mexico",85.78589,10.3958/059.039.0110,3,Juli Pujade-Villar,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.11646/zootaxa.4890.4.7,0,2020.0,"Andricus forni Pujade-Villar &amp;amp; Nicholls n. sp., a new species of oak gallwasp from China (Hymenoptera: Cynipidae)",66.70303,10.3958/059.039.0110,4,JULI PUJADE-VILLAR,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.32870/dugesiana.v25i2.7051,0,2018.0,Descripción de Amphibolips cibriani Pujade-Villar n. sp. para México (Hymenoptera: Cynipidae: Cynipini),63.730385,10.3958/059.039.0110,5,,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.11646/zootaxa.5660.1.8,0,2025.0,"A new species of Andricus Hartig (Hymenoptera: Cynipidae: Cynipini) from South Korea, Andricus koreanus sp. nov.",63.72096,10.3958/059.039.0110,6,MINJOON KANG,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.11646/zootaxa.5647.5.3,0,2025.0,A new species of Amphibolips (Hymenoptera: Cynipidae: Cynipini) from Mexico,62.545586,10.3958/059.039.0110,7,VÍCTOR CUESTA-PORTA,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.32870/dugesiana.v21i2.4155,0,2014.0,"Re-establishment of Erythres Kinsey, 1937 as a valid genus of gallwasps from Mexico (Hymenoptera: Cynipidae: Cynipini)",62.330452,10.3958/059.039.0110,8,,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.11646/zootaxa.2335.1.2,0,2010.0,"A new genus of oak gallwasps, Kinseyella Pujade-Villar &amp;amp; Melika, with a description of a new species from Mexico (Hymenoptera: Cynipidae: Cynipini)",62.23225,10.3958/059.039.0110,9,J. PUJADE-VILLAR,
<i>Andricus breviramuli</i>Pujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico 2014,10.53749/fem.0081004,0,2022.0,"Andricus protuberans Pujade-Villar &amp; Ferrer-Suay IS A SEXUAL FORM (HYM., CYNIPIDAE, CYNIPINI)",62.11284,10.3958/059.039.0110,10,Víctor Cuesta-Porta,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.1007/s00703-013-0298-9,1,2014.0,Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation,86.16632,10.1007/s00703-013-0298-9,1,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-2018-714-rc1,0,2018.0,Review for &amp;amp;#8220;The relative impact of cloud condensation nuclei and ice nucleating particle concentrations on phase-partitioning in Arctic Mixed-Phase Stratocumulus Clouds&amp;amp;#8221;,38.255013,10.1007/s00703-013-0298-9,2,,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-2021-686,0,2021.0,Relative importance and interactions of primary and secondary ice production in the Arctic mixed-phase clouds,38.107876,10.1007/s00703-013-0298-9,3,Xi Zhao,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.1007/s00024-016-1294-z,0,2016.0,Importance of Chemical Composition of Ice Nuclei on the Formation of Arctic Ice Clouds,37.902065,10.1007/s00703-013-0298-9,4,Setigui Aboubacar Keita,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-2021-686-supplement,0,2021.0,"Supplementary material to ""Relative importance and interactions of primary and secondary ice production in the Arctic mixed-phase clouds""",36.225616,10.1007/s00703-013-0298-9,5,Xi Zhao,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/amt-2019-231-rc2,0,2019.0,"Review of ""Spatiotemporal variability of shortwave radiation introduced by clouds over the Arctic sea ice""",35.562763,10.1007/s00703-013-0298-9,6,,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-2021-621-rc1,0,2021.0,"Review for Shi et al. entitled &amp;amp;#8220;Relative importance of high-latitude local and long-range transported dust to Arctic ice nucleating particles and impacts on Arctic mixed-phase clouds&amp;amp;#8220;, submitted to Atmospheric Chemistry and Physics",35.264782,10.1007/s00703-013-0298-9,7,,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acpd-13-17299-2013,0,2013.0,Feldspar minerals as efficient deposition ice nuclei,34.141018,10.1007/s00703-013-0298-9,8,J. D. Yakobi-Hancock,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-22-2909-2022,0,2022.0,Relative importance of high-latitude local and long-range-transported dust for Arctic ice-nucleating particles and impacts on Arctic mixed-phase clouds,33.26313,10.1007/s00703-013-0298-9,9,Yang Shi,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation 2013,10.5194/acp-2021-621,0,2021.0,Relative Importance of High-Latitude Local and Long-Range Transported Dust to Arctic Ice Nucleating Particles and Impacts on Arctic Mixed-Phase Clouds,33.716354,10.1007/s00703-013-0298-9,10,Yang Shi,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1007/bf01141701,1,1984.0,"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents",60.84365,10.1007/bf01141701,1,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1021/acs.est.4c01530.s001,0,,Role of Direct and Sensitized Photolysis in the Photomineralization of Dissolved Organic Matter and Model Chromophores to Carbon Dioxide,34.449375,10.1007/bf01141701,2,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1007/bf00951892,0,1980.0,"Phenyl-substituted 1,4-benzoquinone diazides. 4. Thermal decomposition of 2,6-diphenyl-1,4-benzoquinone diazide in oxygen-containing organic solvents",33.386414,10.1007/bf01141701,3,L. G. Plekhanova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1007/bf02869944,0,1984.0,Nanosecond laser flash photolysis of acridine in organic solvents,30.539787,10.1007/bf01141701,4,N Periasamy,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1021/acs.est.9b01386.s001,0,,The Role of Reactive Nitrogen Species in Sensitized Photolysis of Wastewater-Derived Trace Organic Contaminants,29.091702,10.1007/bf01141701,5,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1021/acs.est.5c13885.s001,0,,Dual Pathways in 222 nm Far-UVC Photodegradation of Sulfonamides: Direct Photolysis and Radical-Mediated Self-Sensitized Oxidation,28.811626,10.1007/bf01141701,6,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1039/d4ra01369g/v1/review2,0,2024.0,"Review for ""Photolysis of tolfenamic acid in aqueous and organic solvents: a kinetic study""",28.772339,10.1007/bf01141701,7,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1021/acsanm.1c03376.s001,0,,Dye-Sensitized Lanthanide-Doped Upconversion Nanoparticles for Water Detection in Organic Solvents,28.76728,10.1007/bf01141701,8,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1021/acs.jpca.5b10716.s001,0,,"Recombination, Solvation and Reaction of CN Radicals Following Ultraviolet Photolysis of ICN in Organic Solvents",28.766373,10.1007/bf01141701,9,,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents 1984",10.1039/d4ra01369g/v2/review1,0,2024.0,"Review for ""Photolysis of tolfenamic acid in aqueous and organic solvents: a kinetic study""",28.725945,10.1007/bf01141701,10,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.24866/1997-2857/2025-1/99-108,1,2025.0,Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского,101.57417,10.24866/1997-2857/2025-1/99-108,1,Марина Владимировна ЖУКОВА,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.25991/vrhga.2023.4.4.006,0,2023.0,«БУДУЩЕЕ ЦЕЛЬНОЕ МИРОВОЗЗРЕНИЕ» ПАВЛА ФЛОРЕНСКОГО: ОПЫТ РЕКОНСТРУКЦИИ,60.772743,10.24866/1997-2857/2025-1/99-108,2,Сафонов А.А.,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.7256/2070-8955.2015.10.15288,0,2015.0,Рахмановская Е.А. Религиозный аспект философии Ф. Ницше,50.514194,10.24866/1997-2857/2025-1/99-108,3,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.7256/1812-8696.2014.1.9306,0,2014.0,Рыбакова О.Б. Религиозный аспект легитимации,34.86695,10.24866/1997-2857/2025-1/99-108,4,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.7256/2409-7144.2017.3.22155,0,2017.0,"Бобков А.И., Кармадонов О.А. Религиозный опыт как фундирующее начало этнической субъектности",32.880608,10.24866/1997-2857/2025-1/99-108,5,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.47132/2588-0276_2024_2_10,0,2024.0,Metaphysics of Unity and the Christian Worldview: Experience of Interpretation in the Works of E. N. Trubetskoy and Priest Pavel Florensky,31.255405,10.24866/1997-2857/2025-1/99-108,6,Н.Н. Павлюченков,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.25136/2409-7144.2017.9.21348,0,2017.0,Тимкук Д.А. Диалогический аспект Африканского коммунитаризма в философии убунту,30.444492,10.24866/1997-2857/2025-1/99-108,7,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.25136/2409-8728.2018.3.25734,0,2018.0,Нехорошева К.И. Роль философии в развитии критического мышления: опыт Франции,29.444338,10.24866/1997-2857/2025-1/99-108,8,,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.34853/nh.2025.96.11.001,0,2025.0,Смерть как гносеологический аспект поиска смысла жизни в философии: историко-философский подход,28.127148,10.24866/1997-2857/2025-1/99-108,9,С.А. Ан,
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского 2025,10.25991/vrhga.2023.2.2.013,0,2023.0,ПРИНЦИП ТОПОСНОСТИ В РЕЛИГИОЗНОЙ ФИЛОСОФИИ П. А. ФЛОРЕНСКОГО,28.037909,10.24866/1997-2857/2025-1/99-108,10,Филатова М.И.,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.1111/j.1440-1827.1986.tb02846.x,1,1986.0,"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations",100.81134,10.1111/j.1440-1827.1986.tb02846.x,1,Akitaka Nonomura,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.3109/01913128609032221,0,1986.0,Hepatic Iron Overload in Renal Transplant Recipients: Ultrastructural Observations,41.555653,10.1111/j.1440-1827.1986.tb02846.x,2,W. Robert Anderson,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.1001/archinte.1977.03630190054014,0,1977.0,Aplastic Anemia Associated With Submassive Hepatic Necrosis,40.15372,10.1111/j.1440-1827.1986.tb02846.x,3,Puedsri Watananukul,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.53347/rid-6869,0,2009.0,Submassive hepatic necrosis,39.4192,10.1111/j.1440-1827.1986.tb02846.x,4,Natalie Yang,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.18535/jmscr/v6i11.18,0,2018.0,Renal Malakoplakia- A Case Report,39.279514,10.1111/j.1440-1827.1986.tb02846.x,5,Dr M.M. Litake,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.2165/00128415-199204260-00052,0,1992.0,Piroxicam,37.351154,10.1111/j.1440-1827.1986.tb02846.x,6,&NA;,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.3109/01913129709016374,0,1997.0,Renal Malakoplakia: Report of a Case with Multifocal Involvement,36.237095,10.1111/j.1440-1827.1986.tb02846.x,7,Josep Lloreta,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.1007/s40278-020-86197-5,0,2020.0,Mycophenolate-mofetil/prednisone/tacrolimus,35.46398,10.1111/j.1440-1827.1986.tb02846.x,8,,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.1186/s12879-024-10144-2,0,2024.0,A rare case of prostatic malakoplakia with multidrug-resistant Escherichia coli: a case report,35.224705,10.1111/j.1440-1827.1986.tb02846.x,9,Qing Yang,
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations 1986",10.1007/bf03287157,0,1976.0,SUBMASSIVE HEPATIC NECROSIS DUE TO PROPYLTHIOURACIL?,34.67815,10.1111/j.1440-1827.1986.tb02846.x,10,,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1246/bcsj.20220011,1,2022.0,Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles,84.36945,10.1246/bcsj.20220011,1,Akihisa Miyagawa,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1177/0263617417748112,0,2018.0,Studies on adsorption of rare earth elements from nitric acid solution with macroporous silica-based bis(2-ethylhexyl)phosphoric acid impregnated polymeric adsorbent,33.215885,10.1246/bcsj.20220011,2,Qiding Shu,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.31003/uspnf_r1716_01_01,0,,Bis(2-ethylhexyl)phosphoric Acid,33.028362,10.1246/bcsj.20220011,3,,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1039/a902146i,0,1999.0,Novel sorbent extraction technique using a chelating agent impregnated porous PTFE filter tube: preconcentration of In(III) with a bis(2-ethylhexyl) hydrogen phosphate (HDEHP) loaded porous PTFE filter tube,32.701523,10.1246/bcsj.20220011,4,Masahiko Murakami,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1006/jcis.2001.7613,0,2001.0,"Electrical Conductivity of Water/Sodium Bis(2-ethylhexyl) Sulfosuccinate/n-Heptane and Water/Sodium Bis(2-ethylhexyl) Phosphate/n-Heptane Systems: The Influences of Water Content, Bis(2-ethylhexyl) Phosphoric Acid, and Temperature",32.359436,10.1246/bcsj.20220011,5,Quan Li,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1081/ss-100100626,0,2000.0,Zinc Ion Removal from Aqueous Solutions Using Modified Silica Impregnated with 2-Ethylhexyl 2-Ethylhexyl Phosphonic Acid,32.29155,10.1246/bcsj.20220011,6,JONG SUNG KIM,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1016/s0379-6779(02)00054-1,0,2002.0,Protonation/plasticization competitions in polyaniline doped with bis(2-ethylhexyl) hydrogen phosphate,32.18336,10.1246/bcsj.20220011,7,Jadwiga Laska,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1007/s10967-021-07806-9,0,2021.0,Adsorption and separation behavior of strontium and yttrium using a silica-based bis(2-ethylhexyl) hydrogen phosphate adsorbent,32.075256,10.1246/bcsj.20220011,8,Taiga Kawamura,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1016/j.hydromet.2014.02.014,0,2014.0,Chemical reactivity between bis(2-ethylhexyl)phosphoric acid (DEHPA) and tributyl phosphate,31.028986,10.1246/bcsj.20220011,9,K.R. Barnard,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles 2022,10.1021/j100806a509,0,1963.0,THE INSTABILITY CONSTANT AND HYDROGEN ION DISSOCIATION OF CALCIUM HYDROGEN PHOSPHATE,30.941814,10.1246/bcsj.20220011,10,Isidor Greenwald,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1484/j.bpm.5.113341,1,2016.0,"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition",130.4359,10.1484/j.bpm.5.113341,1,Christopher D. Schabel,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1484/j.bpm.5.110807,0,2015.0,"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part I: Author, Text and Reception",90.44361,10.1484/j.bpm.5.113341,2,Christopher D. Schabel,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.2307/j.ctv4rftdw.32,0,2018.0,Appendix 2:,70.90968,10.1484/j.bpm.5.113341,3,,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004322356_023,0,2016.0,Tabula quaestionum quarti libri Physicorum,46.704292,10.1484/j.bpm.5.113341,4,Michiel Streijger,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004322356_003,0,2016.0,Tabula quaestionum tertii libri Physicorum,45.92376,10.1484/j.bpm.5.113341,5,Michiel Streijger,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004262355_029,0,2015.0,&lt;Tabula quaestionum secundi libri Physicorum&gt;,44.272316,10.1484/j.bpm.5.113341,6,Michiel Streijger,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004262355_004,0,2015.0,&lt;Tabula quaestionum primi libri Physicorum&gt;,44.272316,10.1484/j.bpm.5.113341,7,Michiel Streijger,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004322356_040,0,2016.0,Indexes,40.488186,10.1484/j.bpm.5.113341,8,Michiel Streijger,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004702028_006,0,2024.0,Iohannis Buridani Quaestiones super octo libros Physicorum Aristotelis (secundum ultimam lecturam) Libri V–VIII,40.348106,10.1484/j.bpm.5.113341,9,Paul J.J.M. Bakker,
"The <i>Quaestiones libri Physicorum</i> by Franciscus Marbres (<i>alias</i> Johannes Canonicus). Part II: Manuscripts, Printings and the Textual Tradition 2016",10.1163/9789004322356_001,0,2016.0,Front Matter,39.819416,10.1484/j.bpm.5.113341,10,Michiel Streijger,
Recurrence relation for restrained domination polynomial of graphs 2025,10.1007/s13226-025-00763-z,1,2025.0,Recurrence relation for restrained domination polynomial of graphs,54.133705,10.1007/s13226-025-00763-z,1,S. Velmurugan,
Recurrence relation for restrained domination polynomial of graphs 2025,10.1007/978-3-030-51117-3_5,0,2020.0,Restrained and Total Restrained Domination in Graphs,37.371082,10.1007/s13226-025-00763-z,2,Johannes H. Hattingh,
Recurrence relation for restrained domination polynomial of graphs 2025,10.1142/s179383092250118x,0,2023.0,Restrained domination polynomial of join and corona of graphs,36.438335,10.1007/s13226-025-00763-z,3,S. Velmurugan,
Recurrence relation for restrained domination polynomial of graphs 2025,10.26524/cm10,0,2017.0,Restrained Domination Number of Some Path Related Graphs,36.07267,10.1007/s13226-025-00763-z,4,Vaidya S K,
Recurrence relation for restrained domination polynomial of graphs 2025,10.12988/ijma.2015.57180,0,2015.0,Restrained locating-domination and restrained differentiating-domination in graphs,35.857307,10.1007/s13226-025-00763-z,5,Stephanie A. Omega,
Recurrence relation for restrained domination polynomial of graphs 2025,10.1007/s10587-005-0029-6,0,2005.0,Remarks on restrained domination and total restrained domination in graphs,35.58433,10.1007/s13226-025-00763-z,6,Bohdan Zelinka,
Recurrence relation for restrained domination polynomial of graphs 2025,10.1080/09720529.2019.1681693,0,2019.0,Restrained domination polynomial in graphs,34.97946,10.1007/s13226-025-00763-z,7,K. Kayathri,
Recurrence relation for restrained domination polynomial of graphs 2025,10.36948/ijfmr.2025.v07i02.41412,0,2025.0,Doubly Restrained Domination in Graphs,34.62038,10.1007/s13226-025-00763-z,8,Jessa Mae Leuveras,
Recurrence relation for restrained domination polynomial of graphs 2025,10.2298/fil2501267s,0,2025.0,Total domination and minimal total domination polynomial of H-join graphs,34.289757,10.1007/s13226-025-00763-z,9,Manikandan Subramanian,
Recurrence relation for restrained domination polynomial of graphs 2025,10.2298/fil2524519a,0,2025.0,Domination and minimal domination polynomial of H-generalized join graphs,34.019505,10.1007/s13226-025-00763-z,10,A. Selvakumar,
"Nogami, Yoko: Identity and pragmatic language use: A study on Japanese ELF users (Developments in English as a Lingua Franca [DELF] 11) 2022",10.1515/jelf-2022-2066,1,2022.0,"Nogami, Yoko: Identity and pragmatic language use: A study on Japanese ELF users (Developments in English as a Lingua Franca [DELF] 11)",123.971306,10.1515/jelf-2022-2066,1,Miyuki Takino,
"Nogami, Yoko: Identity and pragmatic language use: A study on Japanese ELF users (Developments in English as a Lingua Franca [DELF] 11) 2022",10.1515/9781501504211,0,2020.0,Identity and Pragmatic Language Use,76.91965,10.1515/jelf-2022-2066,2,Yoko Nogami,
