query,source,candidate_id,label,candidate_year,candidate_title,true_id,candidate_rank,candidate_author,query_author,journal
Ambulante Palliativversorgung von Patienten mit Migrationshintergrund in der Städteregion Aachen – Perspektiven von Behandelnden und Angehörigen Virginia Nowara 2021,crossref,10.5771/9783748907152-29,0,2020.0,"II. Empirie: Bedarfe, Zugang und Barrieren bei der Gesundheitsversorgung von Patienten mit koronaren Herzerkrankungen",10.1055/a-1441-0661,9,Ursula Köstler,Virginia Nowara,Gesundheitsversorgung bei koronarer Herzerkrankung mit psychischer Komorbidität
Ambulante Palliativversorgung von Patienten mit Migrationshintergrund in der Städteregion Aachen – Perspektiven von Behandelnden und Angehörigen Virginia Nowara 2021,crossref,10.53846/goediss-10999,0,,Patienten mit fortgeschrittenen hämatologischen Grunderkrankungen in der Spezialisierten Ambulanten Palliativversorgung (SAPV),10.1055/a-1441-0661,10,,Virginia Nowara,
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1097/aap.0b013e3181add8ba,1,2009.0,Bad Needles Can't Do Good Blocks,10.1097/aap.0b013e3181add8ba,1,Patrice Forget,Patrice Forget,Regional Anesthesia and Pain Medicine
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.2307/j.ctvpr7rd1.4,0,2020.0,OVERLOAD,10.1097/aap.0b013e3181add8ba,2,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1108/02580540910952181,0,2009.0,Where do leaders lead us?,10.1097/aap.0b013e3181add8ba,3,,Patrice Forget,Strategic Direction
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691230801-toc,0,2021.0,CONTENTS,10.1097/aap.0b013e3181add8ba,4,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691200033-toc,0,2020.0,CONTENTS,10.1097/aap.0b013e3181add8ba,5,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691230801-fm,0,2021.0,Frontmatter,10.1097/aap.0b013e3181add8ba,6,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691200033-fm,0,2020.0,Frontmatter,10.1097/aap.0b013e3181add8ba,7,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.4324/9781315545974-6,0,2016.0,Why Good People do Bad Things,10.1097/aap.0b013e3181add8ba,8,,Patrice Forget,Zygmunt Bauman
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691230801-015,0,2021.0,References,10.1097/aap.0b013e3181add8ba,9,,Patrice Forget,Overload
Bad Needles Can't Do Good Blocks Patrice Forget 2009,crossref,10.1515/9780691200033-014,0,2020.0,References,10.1097/aap.0b013e3181add8ba,10,,Patrice Forget,Overload
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.3.co;2-2,0,2000.0,Featured review of books on optimal control,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,1,D. Subbaram Naidu,D. Subbaram Naidu,International Journal of Robust and Nonlinear Control
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,1,2000.0,Featured review of books on optimal control,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,2,D. Subbaram Naidu,D. Subbaram Naidu,International Journal of Robust and Nonlinear Control
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1002/rnc.640,0,2002.0,Featured Review of Books on Linear Systems. Some of the books that are published around or after 1995 and considered for this short featured review on Linear Systems are (in chronological order).,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,3,D. Subbaram Naidu,D. Subbaram Naidu,International Journal of Robust and Nonlinear Control
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1002/oca.866,0,2008.0,Call for Papers: ‘Optimal Control in Diabetes’,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,4,D. Subbaram Naidu,D. Subbaram Naidu,Optimal Control Applications and Methods
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1109/isrcs.2014.6900094,0,2014.0,Real-time algorithm for nonlinear systems with incomplete state information using finite-horizon optimal control technique,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,5,Ahmed Khamis,D. Subbaram Naidu,2014 7th International Symposium on Resilient Control Systems (ISRCS)
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1016/0957-4158(94)90023-x,0,1994.0,Mechatronics: Electronmechanics and Control Mechatronics,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,6,D. Subbaram Naidu,D. Subbaram Naidu,Mechatronics
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1002/oca.679,0,2001.0,Unified approach to linear quadratic regulator with time‐scale property,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,7,Hardev Singh,D. Subbaram Naidu,Optimal Control Applications and Methods
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.15377/2409-9694.2014.01.01.1,0,2014.0,A Modified Optimal Control Strategy for a Five-Finger Robotic,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,8,Cheng-Hung Chen,D. Subbaram Naidu,International Journal of Robotics and Automation Technology
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1016/0957-4158(95)00086-0,0,1996.0,Mechatronics: Electronic control systems in mechanical engineering,10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,9,D. Subbaram Naidu,D. Subbaram Naidu,Mechatronics
Featured review of books on optimal control D. Subbaram Naidu 2000,crossref,10.1016/0967-0661(95)90023-3,0,1995.0,"Automatic control, Proc. 12th Triennial World Congress of IFAC vol. 1—Theory",10.1002/1099-1239(20001230)10:15<1345::aid-rnc506>3.0.co;2-b,10,D. Subbaram Naidu,D. Subbaram Naidu,Control Engineering Practice
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.3958/059.039.0110,1,2014.0,Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico,10.3958/059.039.0110,1,J. Pujade-Villar,J. Pujade-Villar,Southwestern Entomologist
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.22201/ib.20078706e.2025.96.5614,0,2025.0,"A new gall wasp species (Hymenoptera: Cynipidae),  Andricus protector Pujade-Villar and Cuesta-Porta sp.  nova (Hymenoptera: Cynipidae: Cynipini), from Mexico",10.3958/059.039.0110,2,Juli Pujade-Villar,J. Pujade-Villar,Revista Mexicana de Biodiversidad
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.32870/dugesiana.v22i2.4717,0,2015.0,"Andricus protuberans n. sp. (Hymenoptera: Cynipidae: Cynipini), a new species of oak gallwasp from Mexico",10.3958/059.039.0110,3,Juli Pujade-Villar,J. Pujade-Villar,Dugesiana
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.11646/zootaxa.4890.4.7,0,2020.0,"Andricus forni Pujade-Villar &amp;amp; Nicholls n. sp., a new species of oak gallwasp from China (Hymenoptera: Cynipidae)",10.3958/059.039.0110,4,JULI PUJADE-VILLAR,J. Pujade-Villar,Zootaxa
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.32870/dugesiana.v25i2.7051,0,2018.0,Descripción de Amphibolips cibriani Pujade-Villar n. sp. para México (Hymenoptera: Cynipidae: Cynipini),10.3958/059.039.0110,5,,J. Pujade-Villar,Dugesiana
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.53749/fem.0081004,0,2022.0,"Andricus protuberans Pujade-Villar &amp; Ferrer-Suay IS A SEXUAL FORM (HYM., CYNIPIDAE, CYNIPINI)",10.3958/059.039.0110,6,Víctor Cuesta-Porta,J. Pujade-Villar,Folia Entomológica&lt;br&gt; Mexicana (nueva serie)
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.11646/zootaxa.2335.1.2,0,2010.0,"A new genus of oak gallwasps, Kinseyella Pujade-Villar &amp;amp; Melika, with a description of a new species from Mexico (Hymenoptera: Cynipidae: Cynipini)",10.3958/059.039.0110,7,J. PUJADE-VILLAR,J. Pujade-Villar,Zootaxa
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.5565/rev/orsis.46,0,2017.0,"Revisió del gènere de cinípid «Zapatella» Pujade-Villar &amp; Melika amb la descripció de dues espècies noves de Colòmbia (Hymenoptera, Cynipidae, Cynipini)",10.3958/059.039.0110,8,Sara Fernández-Garzón,J. Pujade-Villar,Orsis
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.11646/zootaxa.5647.5.3,0,2025.0,A new species of Amphibolips (Hymenoptera: Cynipidae: Cynipini) from Mexico,10.3958/059.039.0110,9,VÍCTOR CUESTA-PORTA,J. Pujade-Villar,Zootaxa
Andricus breviramuliPujade-Villar n. sp. (Hymenoptera: Cynipidae: Cynipini): New Pest of Oaks in Mexico J. Pujade-Villar 2014,crossref,10.32870/dugesiana.v21i2.4155,0,2014.0,"Re-establishment of Erythres Kinsey, 1937 as a valid genus of gallwasps from Mexico (Hymenoptera: Cynipidae: Cynipini)",10.3958/059.039.0110,10,,J. Pujade-Villar,Dugesiana
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.1007/s00703-013-0298-9,1,2014.0,Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation,10.1007/s00703-013-0298-9,1,Eric Girard,Eric Girard,Meteorology and Atmospheric Physics
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.1007/s00024-016-1294-z,0,2016.0,Importance of Chemical Composition of Ice Nuclei on the Formation of Arctic Ice Clouds,10.1007/s00703-013-0298-9,2,Setigui Aboubacar Keita,Eric Girard,Pure and Applied Geophysics
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.5194/acp-2018-714-rc1,0,2018.0,Review for &amp;amp;#8220;The relative impact of cloud condensation nuclei and ice nucleating particle concentrations on phase-partitioning in Arctic Mixed-Phase Stratocumulus Clouds&amp;amp;#8221;,10.1007/s00703-013-0298-9,3,,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.5194/acp-2021-686,0,2021.0,Relative importance and interactions of primary and secondary ice production in the Arctic mixed-phase clouds,10.1007/s00703-013-0298-9,4,Xi Zhao,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.1016/j.atmosres.2004.08.002,0,2005.0,"Effects of arctic sulphuric acid aerosols on wintertime low-level atmospheric ice crystals, humidity and temperature at Alert, Nunavut",10.1007/s00703-013-0298-9,5,Eric Girard,Eric Girard,Atmospheric Research
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.5194/acp-2021-686-supplement,0,2021.0,"Supplementary material to ""Relative importance and interactions of primary and secondary ice production in the Arctic mixed-phase clouds""",10.1007/s00703-013-0298-9,6,Xi Zhao,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.5194/amt-2019-231-rc2,0,2019.0,"Review of ""Spatiotemporal variability of shortwave radiation introduced by clouds over the Arctic sea ice""",10.1007/s00703-013-0298-9,7,,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.5194/acp-2021-621-rc1,0,2021.0,"Review for Shi et al. entitled &amp;amp;#8220;Relative importance of high-latitude local and long-range transported dust to Arctic ice nucleating particles and impacts on Arctic mixed-phase clouds&amp;amp;#8220;, submitted to Atmospheric Chemistry and Physics",10.1007/s00703-013-0298-9,8,,Eric Girard,
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.1002/joc.3454,0,2013.0,"Assessment of the effects of acid‐coated ice nuclei on the Arctic cloud microstructure, atmospheric dehydration, radiation and temperature during winter",10.1007/s00703-013-0298-9,9,Eric Girard,Eric Girard,International Journal of Climatology
Relative importance of acid coating on ice nuclei in the deposition and contact modes for wintertime Arctic clouds and radiation Eric Girard 2014,crossref,10.1002/2014jd021917,0,2014.0,Modeling immersion freezing with aerosol‐dependent prognostic ice nuclei in Arctic mixed‐phase clouds,10.1007/s00703-013-0298-9,10,M. Paukert,Eric Girard,Journal of Geophysical Research: Atmospheres
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1007/bf01141701,1,1984.0,"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents",10.1007/bf01141701,1,L. V. Samsonova,L. V. Samsonova,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1021/acs.est.4c01530.s001,0,,Role of Direct and Sensitized Photolysis in the Photomineralization of Dissolved Organic Matter and Model Chromophores to Carbon Dioxide,10.1007/bf01141701,2,,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1007/bf00951892,0,1980.0,"Phenyl-substituted 1,4-benzoquinone diazides. 4. Thermal decomposition of 2,6-diphenyl-1,4-benzoquinone diazide in oxygen-containing organic solvents",10.1007/bf01141701,3,L. G. Plekhanova,L. V. Samsonova,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1007/bf02869944,0,1984.0,Nanosecond laser flash photolysis of acridine in organic solvents,10.1007/bf01141701,4,N Periasamy,L. V. Samsonova,Proceedings / Indian Academy of Sciences
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1007/bf01094659,0,1981.0,"Effect of polarity of medium on thermal stability of 1,4-benzoquinone diazides",10.1007/bf01141701,5,L. V. Samsonova,L. V. Samsonova,Bulletin of the Academy of Sciences of the USSR Division of Chemical Science
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1021/acs.est.9b01386.s001,0,,The Role of Reactive Nitrogen Species in Sensitized Photolysis of Wastewater-Derived Trace Organic Contaminants,10.1007/bf01141701,6,,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1021/acsanm.1c03376.s001,0,,Dye-Sensitized Lanthanide-Doped Upconversion Nanoparticles for Water Detection in Organic Solvents,10.1007/bf01141701,7,,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1021/acs.est.5c13885.s001,0,,Dual Pathways in 222 nm Far-UVC Photodegradation of Sulfonamides: Direct Photolysis and Radical-Mediated Self-Sensitized Oxidation,10.1007/bf01141701,8,,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1039/d4ra01369g/v2/review1,0,2024.0,"Review for ""Photolysis of tolfenamic acid in aqueous and organic solvents: a kinetic study""",10.1007/bf01141701,9,,L. V. Samsonova,
"Direct and sensitized photolysis of 1,4-benzoquinone diazides in organic solvents L. V. Samsonova 1984",crossref,10.1039/d4ra01369g/v1/review2,0,2024.0,"Review for ""Photolysis of tolfenamic acid in aqueous and organic solvents: a kinetic study""",10.1007/bf01141701,10,,L. V. Samsonova,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1246/bcsj.20220011,1,2022.0,Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles,10.1246/bcsj.20220011,1,Akihisa Miyagawa,Akihisa Miyagawa,Bulletin of the Chemical Society of Japan
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1177/0263617417748112,0,2018.0,Studies on adsorption of rare earth elements from nitric acid solution with macroporous silica-based bis(2-ethylhexyl)phosphoric acid impregnated polymeric adsorbent,10.1246/bcsj.20220011,2,Qiding Shu,Akihisa Miyagawa,Adsorption Science &amp; Technology
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.31003/uspnf_r1716_01_01,0,,Bis(2-ethylhexyl)phosphoric Acid,10.1246/bcsj.20220011,3,,Akihisa Miyagawa,
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1039/a902146i,0,1999.0,Novel sorbent extraction technique using a chelating agent impregnated porous PTFE filter tube: preconcentration of In(III) with a bis(2-ethylhexyl) hydrogen phosphate (HDEHP) loaded porous PTFE filter tube,10.1246/bcsj.20220011,4,Masahiko Murakami,Akihisa Miyagawa,Analytical Communications
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1006/jcis.2001.7613,0,2001.0,"Electrical Conductivity of Water/Sodium Bis(2-ethylhexyl) Sulfosuccinate/n-Heptane and Water/Sodium Bis(2-ethylhexyl) Phosphate/n-Heptane Systems: The Influences of Water Content, Bis(2-ethylhexyl) Phosphoric Acid, and Temperature",10.1246/bcsj.20220011,5,Quan Li,Akihisa Miyagawa,Journal of Colloid and Interface Science
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1081/ss-100100626,0,2000.0,Zinc Ion Removal from Aqueous Solutions Using Modified Silica Impregnated with 2-Ethylhexyl 2-Ethylhexyl Phosphonic Acid,10.1246/bcsj.20220011,6,JONG SUNG KIM,Akihisa Miyagawa,Separation Science and Technology
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1016/s0379-6779(02)00054-1,0,2002.0,Protonation/plasticization competitions in polyaniline doped with bis(2-ethylhexyl) hydrogen phosphate,10.1246/bcsj.20220011,7,Jadwiga Laska,Akihisa Miyagawa,Synthetic Metals
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1007/s10967-021-07806-9,0,2021.0,Adsorption and separation behavior of strontium and yttrium using a silica-based bis(2-ethylhexyl) hydrogen phosphate adsorbent,10.1246/bcsj.20220011,8,Taiga Kawamura,Akihisa Miyagawa,Journal of Radioanalytical and Nuclear Chemistry
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1007/s44211-023-00402-9,0,2023.0,"Eu(III) transfer in single N,N,N’,N’-tetraoctyldiglycolamide-impregnated polymer-coated silica particle using fluorescence microspectroscopy: transfer mechanism and effect of polymer crosslinking degree",10.1246/bcsj.20220011,9,Akihisa Miyagawa,Akihisa Miyagawa,Analytical Sciences
Acid Dissociation Constant of Bis(2-Ethylhexyl) Hydrogen Phosphate Impregnated in a Polymer Layer Coated on Silica Microparticles Akihisa Miyagawa 2022,crossref,10.1246/bcsj.20230087,0,2023.0,Kinetic Mass Transfer Behavior of Eu(III) in Nitrilotriacetamide-Impregnated Polymer-Coated Silica Particles,10.1246/bcsj.20220011,10,Akihisa Miyagawa,Akihisa Miyagawa,Bulletin of the Chemical Society of Japan
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.1111/j.1440-1827.1986.tb02846.x,1,1986.0,"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations",10.1111/j.1440-1827.1986.tb02846.x,1,Akitaka Nonomura,Akitaka Nonomura,Acta Pathologica Japonica
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.3109/01913128609032221,0,1986.0,Hepatic Iron Overload in Renal Transplant Recipients: Ultrastructural Observations,10.1111/j.1440-1827.1986.tb02846.x,2,W. Robert Anderson,Akitaka Nonomura,Ultrastructural Pathology
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.1001/archinte.1977.03630190054014,0,1977.0,Aplastic Anemia Associated With Submassive Hepatic Necrosis,10.1111/j.1440-1827.1986.tb02846.x,3,Puedsri Watananukul,Akitaka Nonomura,Archives of Internal Medicine
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.53347/rid-6869,0,2009.0,Submassive hepatic necrosis,10.1111/j.1440-1827.1986.tb02846.x,4,Natalie Yang,Akitaka Nonomura,Radiopaedia.org
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.18535/jmscr/v6i11.18,0,2018.0,Renal Malakoplakia- A Case Report,10.1111/j.1440-1827.1986.tb02846.x,5,Dr M.M. Litake,Akitaka Nonomura,Journal of Medical Science And clinical Research
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.2165/00128415-199204260-00052,0,1992.0,Piroxicam,10.1111/j.1440-1827.1986.tb02846.x,6,&NA;,Akitaka Nonomura,Reactions Weekly
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.3109/01913129709016374,0,1997.0,Renal Malakoplakia: Report of a Case with Multifocal Involvement,10.1111/j.1440-1827.1986.tb02846.x,7,Josep Lloreta,Akitaka Nonomura,Ultrastructural Pathology
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.1007/s40278-020-86197-5,0,2020.0,Mycophenolate-mofetil/prednisone/tacrolimus,10.1111/j.1440-1827.1986.tb02846.x,8,,Akitaka Nonomura,Reactions Weekly
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.1186/s12879-024-10144-2,0,2024.0,A rare case of prostatic malakoplakia with multidrug-resistant Escherichia coli: a case report,10.1111/j.1440-1827.1986.tb02846.x,9,Qing Yang,Akitaka Nonomura,BMC Infectious Diseases
"RENAL AND PROSTATIC MALAKOPLAKIA ASSOCIATED WITH SUBMASSIVE HEPATIC NECROSIS: A Case Report with Immunocytochemical, Ultrastructural and X‐ray Analytical Observations Akitaka Nonomura 1986",crossref,10.1007/bf03287157,0,1976.0,SUBMASSIVE HEPATIC NECROSIS DUE TO PROPYLTHIOURACIL?,10.1111/j.1440-1827.1986.tb02846.x,10,,Akitaka Nonomura,InPharma
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского Марина Владимировна ЖУКОВА 2025,crossref,10.24866/1997-2857/2025-1/99-108,1,2025.0,Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского,10.24866/1997-2857/2025-1/99-108,1,Марина Владимировна ЖУКОВА,Марина Владимировна ЖУКОВА,Гуманитарные исследования  в Восточной Сибири и на Дальнем Востоке
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского Марина Владимировна ЖУКОВА 2025,crossref,10.25991/vrhga.2023.4.4.006,0,2023.0,«БУДУЩЕЕ ЦЕЛЬНОЕ МИРОВОЗЗРЕНИЕ» ПАВЛА ФЛОРЕНСКОГО: ОПЫТ РЕКОНСТРУКЦИИ,10.24866/1997-2857/2025-1/99-108,2,Сафонов А.А.,Марина Владимировна ЖУКОВА,ВЕСТНИК РУССКОЙ ХРИСТИАНСКОЙ ГУМАНИТАРНОЙ АКАДЕМИИ
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского Марина Владимировна ЖУКОВА 2025,crossref,10.7256/2070-8955.2015.10.15288,0,2015.0,Рахмановская Е.А. Религиозный аспект философии Ф. Ницше,10.24866/1997-2857/2025-1/99-108,3,,Марина Владимировна ЖУКОВА,Психология и Психотехника
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского Марина Владимировна ЖУКОВА 2025,crossref,10.7256/1812-8696.2014.1.9306,0,2014.0,Рыбакова О.Б. Религиозный аспект легитимации,10.24866/1997-2857/2025-1/99-108,4,,Марина Владимировна ЖУКОВА,Политика и Общество
Цельное мировоззрение и религиозный опыт: языковой аспект в философии П.А. Флоренского Марина Владимировна ЖУКОВА 2025,crossref,10.7256/2409-7144.2017.3.22155,0,2017.0,"Бобков А.И., Кармадонов О.А. Религиозный опыт как фундирующее начало этнической субъектности",10.24866/1997-2857/2025-1/99-108,5,,Марина Владимировна ЖУКОВА,Социодинамика
